"Policy1","Policy2","Policy3","Policy4","MSA","BaselineAdjDeaths","BaselineAdjEmpDays","Deaths","EmpDaysLost","Death5_17","Death18_49","Death50_59","Death60_69","Death70_79","Death80","Case5_17","Case18_49","Case50_59","Case60_69","Case70_79","Case80","Population"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W4-S1-N2-E2-M1","1600","0","0","7182.66244779055","117701982.383198","4.7974828183345","956.379508302243","1484.12834503579","3689.1347158248","528.713122849008","519.509272960374","37215.4086615129","601210.810835697","185273.491469388","99139.8270262884","11470.1159885826","7083.92860515814","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W1-S1-N1-E1-M1","1600","-0.128443841146417","0.394838158648237","6260.0936933382","164175216.376627","4.65273092740938","832.973681665546","1300.68382082676","3186.64412987144","472.091943835995","463.047386211056","34195.7396650849","447494.995302804","139125.7307244","73980.2913219536","8842.16923078297","5442.93443742653","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W2-S1-N1-E1-M1","1600","-0.11884171935881","0.0155696297815637","6329.06249292116","119534558.67346","4.67796857878559","854.239818606143","1333.10528961693","3192.40024635251","476.821034872939","467.818134893852","34688.9703036701","472888.84634969","146923.288839619","74326.1266558829","9069.44411405744","5586.76959239276","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W3-S1-N1-E1-M1","1600","-0.12382194175395","0.204919058927627","6293.29123654194","141821361.847079","4.66542345273857","844.148581437007","1316.17547213234","3189.10817320011","474.122488459999","465.071097859752","34436.8298150112","460490.478964875","142669.179953682","74121.5575743842","8935.21600752745","5501.06574250137","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W4-S1-N1-E1-M1","1600","-0.0855203138441392","0.0284369987107425","6568.39890101899","121049073.50448","4.75602272571891","936.456124448195","1452.37931236833","3206.65359340255","488.632325190641","479.521522883549","36398.0072188117","577593.367151461","177765.382271721","75272.266586668","9697.6687201965","5977.51448653045","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W1-S2-N1-E1-M1","1600","-0.127862080123294","0.394902036012031","6264.27228639258","164182734.868975","5.21051262381409","834.38541510122","1301.04868990345","3187.44099604635","472.679850460581","463.50682225716","43287.4087305448","449094.053952097","139226.103729187","74027.662142283","8870.03573231031","5456.53572897545","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W2-S2-N1-E1-M1","1600","-0.118097014216317","0.0157654037327093","6334.41145858282","119557601.655609","5.2519425612317","856.134090281371","1333.8757205811","3193.30402959826","477.490110644864","468.355564915998","44173.5109156167","475226.083377853","147144.516734815","74381.6443606945","9102.26108463123","5603.34328655691","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W3-S2-N1-E1-M1","1600","-0.123148070762885","0.205046153414878","6298.13142440412","141836321.120178","5.2317493375633","845.831218749179","1316.78523763383","3189.96067011937","474.752139067273","465.570409496906","43732.2692257812","462494.794605497","142842.47568518","74173.1079065021","8965.59193106598","5516.16454394561","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W4-S2-N1-E1-M1","1600","-0.0844202855320709","0.028761324467852","6576.30003306759","121087247.28903","5.36765142281186","939.498237495701","1453.98920729283","3207.77474302782","489.460465832179","480.209727996249","46898.4223394097","581806.622523769","178256.654034054","75345.7573489577","9741.006297527","6000.3138856269","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W1-S3-N1-E1-M1","1600","-0.121780922369979","0.39534766453379","6307.9511898264","164235186.229392","17.0973714794804","843.802365504547","1304.87617192529","3195.25121983314","478.947801176397","467.976259907553","333227.070752647","465264.501750613","140691.57769217","74677.9051476877","9294.36047830502","5644.80502066152","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W2-S3-N1-E1-M1","1600","-0.11107440800399","0.0171870429820966","6384.85246850973","119724931.413496","17.2515847050079","867.969624316728","1340.79410282544","3201.56732562557","484.109641612032","473.160189424947","336705.475946621","495804.804537235","149794.263816399","75070.0544428638","9550.52210680451","5805.92600730756","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W3-S3-N1-E1-M1","1600","-0.116466793574364","0.205990145927227","6346.12078316939","141947430.910236","17.1838753776722","856.809810666805","1322.65855271836","3198.02632201474","481.216378108579","470.225844283234","335192.799333126","481577.518182796","145107.877044612","74845.193043618","9403.48738263517","5712.49915769094","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W4-S3-N1-E1-M1","1600","-0.0755094798070188","0.0308544473572283","6640.30334272848","121333612.002481","17.5784699046772","956.743473215895","1466.71356661301","3216.90892577506","496.730405408838","485.628501810996","344367.269005811","612331.46109361","183140.845257683","76110.4341258019","10235.0967911571","6230.04568479576","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W1-S1-N2-E1-M1","1600","-0.121025258055951","0.394972779657295","6313.37887151791","164191061.536263","4.6641986116301","835.44053411146","1304.5081435976","3202.7482880468","487.35682569457","478.660881455848","34368.6122088717","450040.587306464","139862.909562762","74637.3569109946","9337.41481066434","5760.7924201803","7948739.042392"
"W4-S3-N3-E2-M4","W1-S1-N1-E2-M1","W2-S1-N1-E2-M1","W2-S1-N2-E1-M1","1600","-0.109124691164114","0.0158854856523769","6398.85662643933","119571735.535602","4.6921093845714","857.694925763091","1338.47125764219","3213.54249975954","496.555949643889","487.899884246042","34920.3700986411","476930.683987505","148097.264334781","75290.8876062217","9783.8200607037","6042.13851456644","7948739.042392"
